polish word;Valence_M;arousal_M;dominance_M;origin_M;significance_M;concretness_M;imegability_M;ageOfAquisition_M
awersja;3,32;4,775510204;4,333333333;4,583333333;4,816326531;6,510638298;4,5;13,89795918
azyl;6,26;3,18;5,62;5,326530612;4,84;5,387755102;5,12244898;12,36
babcia;7,2;3,142857143;5,48;3,7;5,58;2,44;8,14;5,92
babunia;7,26;3,5;5,04;3,8;5,26;2,5;7,9;5,26
bachor;3,14;5,34;3,44;4,56;3,38;2,9;7,02;9,5
bać się;2,72;5,78;2,74;3,74;5,06;6,1;6,52;5,74
badać;5,36;4,04;6,06;7;4,28;4,62;6,64;7,34
bagatelizować;3,78;3,8;4,28;4,88;3,72;6,2;4,66;12,18
bagażnik;5,1;3,64;4,92;6,04;3,22;1,78;7,8;8,1
bagno;3,32;3,88;3,58;5,5;3,84;2,62;7,5;9,14
bajka;6,8;3,54;5,28;4,64;3,88;4,34;6,98;4,96
bajkowy;6,86;3,36;5,7;3,8;3,66;6,1;6,36;6,72
balkon;5,88;3,1;5,16;5,8;3,3;2,08;8,04;6,88
balon;6,06;3,2;4,98;5,32;2,96;1,7;8,2;6,04
balsam;6,42;2,74;5,54;5,18;3,3;2;7,08;9,52
bałaganiarski;3,62;4,32;4;4,48;3,84;5,142857143;6,16;9,16
bałaganiarstwo;3,58;5,02;4,06;4,62;3,56;5,22;6,52;8,36
bałaganić;4,04;5,12;4,6;4,86;3,82;4,24;6,66;7,36
bambus;5,5;3,163265306;5;5,78;2,32;2,04;7,62;9,4
banalny;4,34;3,54;4,12;5,16;3,62;6,2;4,76;10,8
bandaż;4,26;3,16;4,72;6,38;3,6;1,78;8,08;7,56
bandyta;2,6;5,6;5,46;5,18;3,76;3,1;6,8;8,82
bandzior;2,58;5,54;5,16;5,44;3,78;3,08;7;9,46
bandżo;5,738095238;3,863636364;5,261904762;5,260869565;2,744680851;2,25;5,714285714;12,41860465
baner;4,93877551;3,551020408;5,265306122;5,74;2,6;2,34;7,12;11,36
bank;4,98;3,62;6,48;7,08;4,2;1,98;7,46;8,28
bankiet;6,4;3,98;5,8;5,58;3,6;2,56;7,04;10,78
bankrut;2,64;5,18;2,76;5,34;4,08;3,44;5,54;11,06
bar;5,8;3,8;5,3;5,52;3,76;2,1;7,74;9,08
baran;4,9;3,58;4,1;5,42;2,78;2,08;7,92;7,22
barbarzyńca;3,3;5,54;5,84;4,84;3,26;3,92;6,08;10,5
bardzo;6,16;4,44;6,64;4,4;4,72;6,367346939;3,44;6,02
barokowy;5,34;4,081632653;5,36;5,28;3,42;5,5;5,8;12,16
baron;5,4;3,92;6,78;6,14;2,48;2,92;6,02;11,42
bas;5,66;4,24;5,82;5,76;3,48;3,82;6,32;9,96
basen;6,22;3,54;5,36;5,26;3,76;1,86;8,16;6,56
bat;3,653061224;4,82;5,46;5,24;2,72;2,22;7,58;9,44
bawełna;5,72;2,6;5,02;5,34;3,24;2,04;7,08;9,7
bawół;4,98;3,36;5,04;5,204081633;2,96;2,06;7,22;8,82
bazar;5,38;4,22;5,26;5,26;2,88;2,1;7,68;7,98
bazooka;4,456521739;5,133333333;6,085106383;5,531914894;2,744680851;2,255319149;6,909090909;10,39583333
bażant;5,38;2,78;5,14;6;2,48;1,775510204;7,52;9,84
bąbel;4,52;3,52;4;5,06;2,64;2,08;7,46;7,56
beczeć;3,34;4,142857143;3,12;4,46;3,64;3,96;6,8;7,22
beczka;5,24;3,12;4,78;5,9;2,56;1,836734694;7,86;8,04
bejcowanie;5,026315789;3,15;5,058823529;6,414634146;3,046511628;3,675675676;6,294117647;12,45238095
Belgia;5,7;3,42;5,36;6,04;2,8;2,5;5,44;10,56
belgijski;5,82;3,22;5,34;5,7;3,2;4,52;4,64;10,14
belka;5,1;3,14;5,08;6,22;2,74;1,44;7,3;8,22
berło;5,78;3,82;7,08;7,02;3,28;2,22;7,74;8,78
bestia;3,46;5,22;6,38;4,6;3,72;4,14;6,94;7,54
beton;4,6;3,46;5,44;5,94;2,42;1,86;7,64;8,4
bez emocji;3,88;2,44;4,7;6,32;3,66;6,78;4,78;10,74
bez entuzjazmu;3,48;2,98;3;5,9;3,66;6,64;5,14;11,04
bez serca;2,5;5;4,88;5,7;4,14;7,08;4,52;9,84
bez śladu;3,86;4,02;3,86;5,48;3,66;5,6;4,06;9,08
bez życia;2,68;4,06;2,42;5,591836735;4,58;5,72;4,82;9,42
bezbarwny;4,6;2,74;3,74;5,74;3,44;4,72;6,14;7,82
bezbłędnie;6,9;3,44;6,94;6,7;4,8;5,68;5,6;8,9
bezbłędny;6,591836735;4,24;7,04;6,76;5,02;6,26;4,72;9,52
bezbolesny;6,74;3,040816327;5,78;5,34;4,02;5,8;4,78;9,22
bezbronny;3,48;4,1;2,48;4,22;4,56;5,76;5,52;8,82
bezcelowy;3,5;3,58;3,22;5,22;3,46;6,46;3,82;10,38
bezczelność;3,24;5,88;5,46;4,22;4,3;6,44;4,64;10
bezczelny;3,22;5,34;5,38;4,42;4,6;6,56;5,16;10,22
bezinteresowność;7;3,92;5,82;3,92;5,54;7,26;4,4;10,42
bezkarność;3,4;5,02;6,16;5,26;4,64;6,32;4,08;10,56
bezlitosny;2,857142857;5,58;6,12;5,02;4,68;6,4;5,34;10,32
bezład;3,76;4,36;3,28;4,78;3,36;5,87755102;5,2;11,04
bezmyślność;3;4,72;2,96;4,72;4,06;6,54;4,36;10,51020408
beznadziejność;2,489795918;4,76;2,56;3,98;4,42;6,98;4,18;10,32
beznadziejny;2,4;4,82;2,62;4,66;4,82;6,1;4,3;8,8
bezpieczny;7,4;3,3;6,12;5,42;5,7;6,22;5,5;8,08
bezplanowy;4,34;3,94;3,7;4,16;3,74;5,714285714;3,74;10,1
bezpośrednio;5,64;3,76;6,16;5,7;3,78;5,9;3,76;9,52
bezpowrotnie;3,58;4,54;3,68;5,34;4,62;6,26;3,96;10,36
bezpowrotny;3,6;4,52;3,7;5,62;4,62;6,12;3,92;10,7
bezproblemowy;6,52;2,88;5,48;5,7;5,02;6,44;4,1;10,06
bezradność;2,88;4,5;2,36;4,2;5,24;6,64;5,04;10,36
bezradny;3,26;4,64;2,32;4,16;4,54;6,2;5,18;9,84
bezrobocie;2,92;4,2;3,06;6,06;4,92;5,4;4,72;10,98
bezrobotny;2,9;4,58;2,72;5,54;4,48;4,32;5,68;9,82
bezsilny;2,9;4,74;2,5;5,14;4,22;5,74;5,16;10,76
beztroski;6;3,52;5,34;3,5;4,76;6,5;5,42;9,8
bezużyteczny;2,96;3,96;2,4;5,58;4,12;6,16;4,571428571;9,66
bezwartościowy;2,66;4,02;2,32;5,26;4,26;6,82;4,3;10,12
bezwstydność;3,82;5,28;5,34;3,94;4,06;6,8;5,52;11,16
bezwstydny;3,62;5,24;5,46;4,1;3,76;6,34;5,38;11,14
bezwzględny;3,64;5,08;6,64;5,96;5,14;6,4;4,76;10,44
beżowy;5,28;2,96;4,9;5,58;2,56;4,12;7,28;9,48
bęben;5,56;3,82;5,52;5,76;2,94;1,44;7,86;7,285714286
bękart;3,18;4,82;3,28;5,3;3,3;3,82;5,265306122;12,44
Białoruś;4,92;3,88;3,92;5,74;2,92;2,34;5,6;10,54
biały;5,56;2,46;5,02;5,38;3,26;4,12;8,32;5,88
Biblia;5,68;3,52;6,02;4,7;5;3;7,78;7,36
bić;2,7;5,96;5,52;4,72;4,46;3,9;7,18;6,24
